treatment,replicate,population,timestep,abundance
2,1,4,6,0.7522908259304927
2,1,4,7,0.7936018926081311
2,1,4,8,0.9328443317605292
2,1,4,9,0.997975623578192
2,1,4,10,1.307181925335808
2,1,4,11,0.9105161520096684
2,1,4,12,0.8653579320999024
2,1,4,13,1.1613748943362856
2,1,4,14,0.7979363771955007
2,1,4,15,0.9033840986884147
2,1,4,16,0.9057564954897834
2,1,4,17,0.7590794413964107
2,1,4,18,0.9126927576153482
2,1,4,19,0.750907604364316
2,1,4,20,0.6782827137214122
2,1,4,21,1.0033339128460121
2,1,4,22,0.9360052200206074
2,1,4,23,0.8334806787188118
2,1,4,24,0.9916887139068934
2,1,4,25,1.03099465243263
2,1,4,26,1.40377332794213
2,1,4,27,1.2786244688441928
2,1,4,28,0.8777308171130587
2,1,4,29,0.9320451950903159
2,1,4,30,1.1386788396884722
2,1,5,1,0.9020968996366119
2,1,5,2,0.8048212339228831
2,1,5,3,0.8609847852320516
2,1,5,4,0.6677713120351471
2,1,5,5,0.7690709037079752
2,1,5,6,0.734526071960955
2,1,5,7,0.786086836874561
2,1,5,8,0.9392677819863492
2,1,5,9,0.932121984204309
2,1,5,10,0.9385414138085914
2,1,5,11,1.3519101526484718
2,1,5,12,1.3054513553153615
2,1,5,13,1.2307178638981842
2,1,5,14,0.9793114523291072
2,1,5,15,0.7082976821157775
2,1,5,16,0.6674172633269987
2,1,5,17,1.1450137734266486
2,1,5,18,1.031174058630902
2,1,5,19,0.8940140969394219
2,1,5,20,0.8346438157672416
2,1,5,21,1.0677351672877904
2,1,5,22,0.9453052848376907
2,1,5,23,1.505555267100674
2,1,5,24,1.210747825198924
2,1,5,25,1.0354855880978497
2,1,5,26,0.9003789581819288
2,1,5,27,0.7609879229060252
2,1,5,28,0.7793811124453948
2,1,5,29,0.9187121314766502
2,1,5,30,1.0211378846086099
2,1,6,1,0.6398066437183088
2,1,6,2,1.117567182535505
2,1,6,3,1.1294773695843732
2,1,6,4,1.0829982507312683
2,1,6,5,0.7885661452620285
2,1,6,6,1.183439942343769
2,1,6,7,0.9352705678127498
2,1,6,8,0.9253493318361838
2,1,6,9,0.7594680538299946
2,1,6,10,0.8654772202279686
2,1,6,11,1.1307372579381936
2,1,6,12,0.940571700245368
2,1,6,13,0.8122779016845975
2,1,6,14,0.9340779268851571
2,1,6,15,0.7785916755709803
2,1,6,16,0.9227444956734951
2,1,6,17,1.0240570283176127
2,1,6,18,1.2442638704720006
2,1,6,19,0.8512945988988646
2,1,6,20,1.1790464444678874
2,1,6,21,1.0899176519924612
2,1,6,22,1.0006226188957585
2,1,6,23,1.3115798104955396
2,1,6,24,1.1064223861515714
2,1,6,25,0.6863497774503133
2,1,6,26,0.7668554585929255
2,1,6,27,0.7764706663353625
2,1,6,28,1.04924945181363
2,1,6,29,1.2603403543771337
2,1,6,30,1.2699987471793945
2,1,7,1,1.1438305382501284
2,1,7,2,0.9772771115709157
2,1,7,3,1.1371690385291928
2,1,7,4,1.2607355791425463
2,1,7,5,0.8640418965970096
2,1,7,6,0.8064245503190077
2,1,7,7,0.5754685965853406
2,1,7,8,0.9669364120095556
2,1,7,9,0.9634197780898633
2,1,7,10,0.9814603728014283
2,1,7,11,0.888401115123077
2,1,7,12,0.978687967595967
2,1,7,13,1.0193515422028427
2,1,7,14,1.1828850609303307
2,1,7,15,1.0235770028723818
2,1,7,16,0.9341232100486154
2,1,7,17,0.8432938694001031
2,1,7,18,0.9075055009450738
2,1,7,19,0.8767873489169358
2,1,7,20,1.146977830247893
2,1,7,21,1.1909238044259798
2,1,7,22,0.7927003852764988
2,1,7,23,0.9197437248735496
2,1,7,24,0.9144023574796603
2,1,7,25,0.6899074373235431
2,1,7,26,1.056352448445402
2,1,7,27,1.1594812078579608
2,1,7,28,1.464891606091298
2,1,7,29,1.0977295692224398
2,1,7,30,1.2961624183214173
2,1,8,1,0.7216237522351026
2,1,8,2,1.1272639667286894
2,1,8,3,0.9469164979463925
2,1,8,4,1.0395809927544883
