treatment,replicate,mean_cc
10,50,0.539431407792997
11,1,0.4564566793924939
11,2,0.43306923805103403
11,3,0.5754660838977264
11,4,0.6176258622033309
11,5,0.5985047719446742
11,6,0.5764976331811447
11,7,0.6169856098116243
11,8,0.5545239932282154
11,9,0.5140334459976219
11,10,0.6953029077397188
11,11,0.5979387474250547
11,12,0.623257321511398
11,13,0.4775949739275585
11,14,0.4661048299970688
11,15,0.627596736460503
11,16,0.5117574342922628
11,17,0.6239790312695452
11,18,0.7038393862871616
11,19,0.48778415732614244
11,20,0.5344893333401145
11,21,0.5952809805742956
11,22,0.639915032698771
11,23,0.5335422009432049
11,24,0.5720852731426889
11,25,0.4385880160605351
11,26,0.7632624899552293
11,27,0.6313709892109114
11,28,0.5274546788321236
11,29,0.7101136908340953
11,30,0.7491431396979176
11,31,0.5582176098158209
11,32,0.6180136258584102
11,33,0.5967536035533761
11,34,0.48717851510358207
11,35,0.7315244789788775
11,36,0.5465743389241575
11,37,0.5863745888131684
11,38,0.5561338666858768
11,39,0.4869630857033483
11,40,0.49988402349887123
11,41,0.5286504955997178
11,42,0.511427595250597
11,43,0.6034775611572434
11,44,0.549659575713732
11,45,0.5531928610916423
11,46,0.5891018358622522
11,47,0.40672668569588294
11,48,0.6272073730359449
11,49,0.6664577724177568
11,50,0.6214939790105198
12,1,0.6943216997211922
12,2,0.6102526023871722
12,3,0.6908152455680767
12,4,0.511827353918113
12,5,0.6408054893001974
12,6,0.5243722020488859
12,7,0.621904830314779
12,8,0.6668461195909091
12,9,0.7221123522086439
12,10,0.4791153609870055
12,11,0.5843877979651144
12,12,0.6809845369719092
12,13,0.5190952050745071
12,14,0.5870041841439937
12,15,0.5440347130171848
12,16,0.6175643403367581
12,17,0.6708615230612545
12,18,0.5526220731608767
12,19,0.686101750480815
12,20,0.4577169500622818
12,21,0.43593276829886773
12,22,0.6865907943572706
12,23,0.5007623406497007
12,24,0.47306690473751206
12,25,0.624845425792623
12,26,0.40858893914516015
12,27,0.3507311092606069
12,28,0.6636168398066393
12,29,0.4669632875670801
12,30,0.6167894578822455
12,31,0.5960390409864978
12,32,0.47428654632960326
12,33,0.6305960494409963
12,34,0.519506315065176
12,35,0.4017333162987914
12,36,0.6983220551524678
12,37,0.3102050928826614
12,38,0.6381297808251986
12,39,0.5235060651787549
12,40,0.6208034226971855
12,41,0.634202564742567
12,42,0.6026814879317169
12,43,0.6272258340528131
12,44,0.5794459018174088
12,45,0.7487517199526043
12,46,0.6378099128110333
12,47,0.6423815769436377
12,48,0.6760906416480212
12,49,0.616166513616032
12,50,0.6405643377334753
13,1,0.4306269696353015
13,2,0.5194701972368716
13,3,0.6896893232438768
13,4,0.6403204063586074
13,5,0.6757883381183651
13,6,0.4838980323930398
13,7,0.6782621235227476
13,8,0.7005329287016931
13,9,0.7099152673114429
13,10,0.43663925211543964
13,11,0.4268398927050411
13,12,0.7156523566494294
13,13,0.5925726852184868
13,14,0.5571892836201489
13,15,0.7214915455568436
13,16,0.550760068470553
13,17,0.6343043307818983
13,18,0.4690527857910309
13,19,0.6699225075941266
13,20,0.30557650556579835
13,21,0.47793207577261143
13,22,0.7616154354555852
13,23,0.6369324085275655
13,24,0.7111956141087217
13,25,0.672324482043213
13,26,0.6040552667453607
13,27,0.6000407665686701
13,28,0.6712726276339978
13,29,0.6298297658161498
13,30,0.6456789010669548
13,31,0.6324666598993696
13,32,0.5897831867027228
13,33,0.6672497684571298
13,34,0.6710933458333594
13,35,0.7145245894917749
13,36,0.523449142714963
13,37,0.6157360823778133
13,38,0.48623237453534185
13,39,0.5994862220683558
13,40,0.4195629811952717
13,41,0.6661367047161605
13,42,0.6035770561848665
13,43,0.5176452277388673
13,44,0.7703927640352697
13,45,0.6723916224824613
13,46,0.7905610245573302
13,47,0.5817902843303078
13,48,0.5627424214866176
13,49,0.5794994934747169
13,50,0.6410697094212263
14,1,0.7745155697269062
14,2,0.5179320031702848
14,3,0.678365650712708
14,4,0.5155298595398033
14,5,0.6936463349227534
14,6,0.7420380969085211
14,7,0.6202635814463544
14,8,0.511482237340585
14,9,0.676375258504797
14,10,0.7659005224845051
14,11,0.6224189213197315
14,12,0.5615437355228354
14,13,0.7457689987446671
14,14,0.45998240257743755
14,15,0.6471746362031375
14,16,0.6310721062475139
14,17,0.5325184861520981
14,18,0.5266946629756865
14,19,0.6193628636540441
14,20,0.5829404042825135
14,21,0.7384942912744213
14,22,0.6642652317409058
14,23,0.6227590511301162
14,24,0.5409455950280279
14,25,0.7217156044222934
14,26,0.6468203248330485
14,27,0.7899535464232659
14,28,0.597475716785477
14,29,0.4793980060735919
14,30,0.6340718577250125
14,31,0.3992391595344419
14,32,0.5488287908005992
14,33,0.49692511321365673
14,34,0.6360488872711397
14,35,0.6202101363278069
14,36,0.6619077911080504
14,37,0.7420527122076864
14,38,0.5286816471015034
14,39,0.37259817799333245
14,40,0.7885699220222714
14,41,0.6021975348922538
14,42,0.5972897477174925
14,43,0.534046098783149
14,44,0.6875512074775455
14,45,0.7793194471228633
14,46,0.6193823159552261
14,47,0.6379830607395865
14,48,0.703962408863507
14,49,0.5809419481545873
14,50,0.595339248502977
15,1,0.5556845969413775
15,2,0.6656587625331536
15,3,0.5890557963167948
15,4,0.6736329993404188
15,5,0.6269088789992613
15,6,0.2984975108400512
15,7,0.5574710955990863
15,8,0.4930988781895131
15,9,0.6649716372625948
15,10,0.7320344455300222
15,11,0.7597608751532529
15,12,0.6630634113796856
15,13,0.6665070090657517
15,14,0.5730277332824003
15,15,0.7381474720640099
15,16,0.5984496988381368
15,17,0.5549140986033019
15,18,0.6863268910312591
15,19,0.5933395109404995
15,20,0.5370160187790427
15,21,0.4767372971326063
15,22,0.7085772247345653
15,23,0.7016967613767485
15,24,0.5683135340551985
15,25,0.8085119856591105
15,26,0.7089741138382875
15,27,0.7154671452235695
15,28,0.6229721338553944
15,29,0.6137001094126163
15,30,0.5186205827821925
15,31,0.75772483081093
