treatment,replicate,mean_cc
2,32,0.8377689168168486
2,33,0.5832936285927295
2,34,0.6063199854768851
2,35,0.704034989596547
2,36,0.861787959861704
2,37,0.5682724331878873
2,38,0.6102352390255077
2,39,0.6020631068937295
2,40,0.6858909806347697
2,41,0.5383801201208085
2,42,0.7313134948900765
2,43,0.6893403047937313
2,44,0.7728806618160879
2,45,0.8090430887984941
2,46,0.7484185871398403
2,47,0.5926854657569655
2,48,0.4780853701312122
2,49,0.6410477560919545
2,50,0.6141633077703237
3,1,0.7599603416437135
3,2,0.7861230457303577
3,3,0.8606066224524389
3,4,0.7256796572993819
3,5,0.7656432103517393
3,6,0.7755997270504068
3,7,0.7221098140290049
3,8,0.7946712157729272
3,9,0.6300657537515845
3,10,0.808087498631102
3,11,0.8460785096733208
3,12,0.769205051139676
3,13,0.6462497863340775
3,14,0.8053819621836845
3,15,0.8213960093135066
3,16,0.7016105936096714
3,17,0.7531024668963067
3,18,0.6321762767569632
3,19,0.6043037978196866
3,20,0.8548210960979917
3,21,0.7725778381385435
3,22,0.7714079763366991
3,23,0.7553098315672689
3,24,0.7977300551783187
3,25,0.869401054599858
3,26,0.8143652111348334
3,27,0.8209875368565108
3,28,0.6432078968204814
3,29,0.7779882285284768
3,30,0.7329627373820089
3,31,0.6745597354569556
3,32,0.8257918104891606
3,33,0.7157319097635347
3,34,0.7914360419829933
3,35,0.8030483433956856
3,36,0.7549323571898916
3,37,0.8628949223177581
3,38,0.7854070529027101
3,39,0.6954981305210077
3,40,0.8891627041465628
3,41,0.9059221019564985
3,42,0.7604364026413136
3,43,0.8466522282985991
3,44,0.7874509313114656
3,45,0.7162647830657978
3,46,0.6721549480272332
3,47,0.7940571468784838
3,48,0.7969894747596775
3,49,0.8321498501080017
3,50,0.6426781071441445
4,1,0.9132978395776444
4,2,0.7979546691005834
4,3,0.8702468706258638
4,4,0.8306140887931542
4,5,0.9169876008475855
4,6,0.8100852719741152
4,7,0.7052942213256491
4,8,0.7496088626564547
4,9,0.8383391671634497
4,10,0.9039281021457534
4,11,0.7395042169230771
4,12,0.9142385569277275
4,13,0.7272757487179256
4,14,0.8050137112288968
4,15,0.8882694675036498
4,16,0.7122996987844806
4,17,0.7645902306905057
