treatment,migration_rate,carrying_capacity,sigma,lambda,alpha,log_abundances,num_populations,summary_stat,fixed_metapopulation,metapopulation_generator,number_of_timesteps
35,0.34,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
36,0.35,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
37,0.36,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
38,0.37,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
39,0.38,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
40,0.39,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
41,0.4,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
42,0.41,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
43,0.42,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
44,0.43,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
45,0.44,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
46,0.45,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
47,0.46,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
48,0.47,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
49,0.48,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
50,0.49,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
51,0.5,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
52,0.51,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
53,0.52,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
54,0.53,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
55,0.54,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
56,0.55,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
57,0.56,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
58,0.57,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
59,0.58,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
60,0.59,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
61,0.6,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
62,0.61,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
63,0.62,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
64,0.63,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
65,0.64,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
66,0.65,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
67,0.66,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
68,0.67,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
69,0.68,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
70,0.69,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
71,0.7,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
72,0.71,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
73,0.72,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
74,0.73,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
75,0.74,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
76,0.75,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
77,0.76,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
78,0.77,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
79,0.78,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
80,0.79,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
81,0.8,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
82,0.81,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
83,0.82,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
84,0.83,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
85,0.84,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
86,0.85,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
87,0.86,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
88,0.87,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
89,0.88,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
90,0.89,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
91,0.9,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
92,0.91,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
93,0.92,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
94,0.93,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
95,0.94,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
96,0.95,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
97,0.96,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
98,0.97,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
99,0.98,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
100,0.99,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
101,1.0,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
102,0.0,2.0,0.3,1.0,0,true,20,PCC,false,get_random_metapopulation,300
103,0.01,2.0,0.3,1.0,0,true,20,PCC,false,get_random_metapopulation,300
104,0.02,2.0,0.3,1.0,0,true,20,PCC,false,get_random_metapopulation,300
105,0.03,2.0,0.3,1.0,0,true,20,PCC,false,get_random_metapopulation,300
