treatment,replicate,summary_stat
7,47,0.04509466630461122
7,48,0.011276800335368571
7,49,0.00022456119285372316
7,50,0.14250132585284045
8,1,0.08051228345654965
8,2,0.05083266166524507
8,3,0.10353502104043663
8,4,0.05913561545808885
8,5,0.12711740292794224
8,6,0.04084828607524918
8,7,0.08234041359077585
8,8,0.18256854226761987
8,9,0.026234881367995927
8,10,0.22489260136617256
8,11,0.12881356633645777
8,12,0.04628177981741201
8,13,0.19201287730465388
8,14,0.048663709810773954
8,15,0.023015630593488698
8,16,-0.006188046360240985
8,17,0.09238029982551467
8,18,0.11496584084751779
8,19,0.007728173556095317
8,20,0.05450894921935262
8,21,0.09053833627121322
8,22,0.23027483516021308
8,23,0.1232991274552399
8,24,0.0744084274430217
8,25,0.03179651384839302
8,26,0.031002528814638775
8,27,0.07031136394611628
8,28,0.24683370317515166
8,29,-0.0293085076383819
8,30,0.14078039021638944
8,31,0.1173766856528447
8,32,0.06115188158682824
8,33,0.05601563158301745
8,34,0.15621617438559324
8,35,0.05789843479885337
8,36,-0.01893610917651138
8,37,0.04261362903134923
8,38,0.06647765536094484
8,39,0.025472612018906493
8,40,-0.029663151001119097
8,41,-0.019991806130775076
8,42,-0.01963065797984144
8,43,0.060869242106162375
8,44,0.13099803415165917
8,45,0.008087981524483845
8,46,0.009190187392012425
8,47,-0.003487500785404277
8,48,0.10082024550144787
8,49,0.09014858251538192
8,50,0.11680655062818375
9,1,0.13482098603569617
9,2,0.09803436754309162
9,3,0.008582769411458588
9,4,0.031560698462075105
9,5,0.01121342596268853
9,6,0.03629682672765669
9,7,0.16390500884270168
9,8,0.17913455625509214
9,9,0.19404755762576087
9,10,0.09138360716352753
9,11,-0.02552337908894476
9,12,-0.02605273488003698
9,13,0.07263244758737109
9,14,0.0263359499102972
9,15,0.043152910463638366
9,16,0.0037655227053775206
9,17,0.007703816113475291
9,18,0.10307740877278132
9,19,0.10854146357873158
9,20,0.027631291573375162
9,21,0.12683573470455975
9,22,0.03010724431017929
9,23,0.015199531944991504
