treatment,replicate,summary_stat
5,21,0.3522085191408036
5,22,0.6016268729411055
5,23,0.5820322211530239
5,24,0.47307809565118286
5,25,0.19694512034418973
5,26,0.17597165100946227
5,27,0.15305630484860264
5,28,0.16297432307661794
5,29,0.057096088348067654
5,30,0.8598874865755662
5,31,0.19118874934810512
5,32,0.16613657470327511
5,33,0.2760083765029264
5,34,0.46325665997266974
5,35,0.7588735797595709
5,36,0.5489583348207792
5,37,0.6700208744034784
5,38,0.14347539333816536
5,39,0.552315775088363
5,40,0.45422337975603505
5,41,0.7166100112435302
5,42,0.2545043079224072
5,43,0.4715720731619986
5,44,0.6380175971676884
5,45,0.5797450185772027
5,46,0.39550606043939035
5,47,0.3424965715943511
5,48,0.19137072652514067
5,49,0.7143423287630309
5,50,0.6671495310383312
6,1,0.8988255171739032
6,2,0.5319850181269322
6,3,0.47173876670027187
6,4,-0.1737910366206862
6,5,0.5517953583287737
6,6,0.6704115628433595
6,7,0.522046747920936
6,8,0.21891976751703246
6,9,0.16469250797433696
6,10,0.19887845544303756
6,11,0.5378317904644214
6,12,0.832321929099262
6,13,0.6781743173485691
6,14,0.6918738195281734
6,15,0.5076002463887651
6,16,0.8114100989334049
6,17,0.6910140696651488
6,18,0.7268092188762725
6,19,0.26113611395365477
6,20,0.9118077605257174
6,21,0.49132082776973174
6,22,0.4333310132026709
6,23,0.541407671799476
6,24,0.6282884316526216
6,25,0.4988593410736269
6,26,0.6305341856025263
6,27,0.8975714803044458
6,28,0.6461632225583376
6,29,0.49165616756003
6,30,0.6067803571215465
6,31,0.6427008616519961
6,32,0.3403907107044139
6,33,0.6179769215470666
6,34,0.6052299263410947
6,35,0.5677463819509256
6,36,0.3713908833794303
6,37,0.6806244441683551
6,38,0.152124945873216
6,39,0.5813496353786501
6,40,0.20166908285487029
6,41,0.6025952968304673
6,42,0.8711055603489067
6,43,0.3927924328273789
6,44,0.897941059235037
6,45,0.7373573419908988
6,46,0.7362003028720281
6,47,0.47266516563480065
6,48,0.6164934489252142
6,49,0.6960174136934203
6,50,0.48893116394590636
7,1,0.3727541174127363
7,2,0.8676681786124472
7,3,0.4351778494320664
7,4,0.5924360631873042
7,5,0.6967580146690848
7,6,0.784757935973092
7,7,0.7051851908711156
7,8,0.4959512992694812
7,9,0.3905746959486673
7,10,0.7499763288720729
7,11,0.7684561058375109
7,12,0.6682622755680496
7,13,0.77274921969336
7,14,0.47522200570150247
7,15,0.4906583718971651
7,16,0.39299988215938986
7,17,0.31667068684546784
7,18,0.7263096024047636
7,19,0.39719271677148077
7,20,-0.10855838893002619
7,21,0.5154279827903518
7,22,0.3509539637119217
7,23,0.3405141145963504
7,24,0.37465987038428333
7,25,0.3581867030044205
7,26,0.5156226936431396
7,27,0.5294978218099716
7,28,0.5771409329413154
7,29,0.5832440968634659
7,30,0.5714909697977136
7,31,0.32545512129913046
7,32,0.632711886703352
7,33,-0.006377115575578438
7,34,0.8160369331117524
7,35,0.873266689098516
7,36,0.6742548527429519
7,37,0.4756205363872168
7,38,0.8747203067509978
7,39,0.5799148235124288
7,40,0.8537061313291986
7,41,0.6153308539039274
7,42,0.6351090041074161
7,43,0.31414450444753056
7,44,0.6962678353448868
7,45,0.6871472651499216
7,46,0.5960954308338092
7,47,0.44234499486976364
7,48,0.4226726530286433
7,49,0.6213534130646018
7,50,0.7750520015189201
8,1,0.6351604842439968
8,2,0.47707294455588534
8,3,0.6786493169657042
8,4,0.6167217740306205
8,5,0.1858528493365696
8,6,0.5908706667247801
8,7,0.8427502098661892
8,8,0.9345729380968703
8,9,0.46573239763157087
8,10,0.8401841100101848
8,11,0.09120227536632763
8,12,0.47178995822489056
8,13,0.40897841725256134
8,14,0.543633258809838
8,15,0.668938824557203
8,16,0.8221177159579361
8,17,0.503148924767686
8,18,0.5674760834106496
8,19,0.6867124579084213
8,20,0.7026462672505479
8,21,0.5065172744486478
8,22,0.7732071525757553
8,23,0.5546281582842623
8,24,0.5467853135429711
8,25,0.6314560101409916
8,26,0.23441429366718963
8,27,0.5819673996306377
8,28,0.511238410332145
8,29,0.6674511389901185
8,30,0.6613332739314466
8,31,0.7098347007798292
8,32,0.3774937537886552
8,33,0.8067395738129058
8,34,0.27564790091079994
8,35,0.7591171867925596
8,36,0.6526965502753064
8,37,0.702600093718382
8,38,0.2951257187546009
8,39,0.42775641638583606
8,40,0.8900276716029788
8,41,0.5442523466085663
8,42,0.5249568308134978
8,43,0.5793287391849866
8,44,0.6005073829927746
8,45,0.6519394148720508
8,46,0.7173866982036725
8,47,0.5043553391390764
8,48,0.8683987457037007
