treatment,sigma,num_populations,migration_rate,alpha,lambda,carrying_capacity,metapopulation_generator,number_of_timesteps
43,1.0,15,0.08,0.0,1.0,1.0,get_random_metapopulation,300
44,1.0,20,0.08,0.0,1.0,1.0,get_random_metapopulation,300
45,1.0,25,0.08,0.0,1.0,1.0,get_random_metapopulation,300
46,1.0,5,0.09,0.0,1.0,1.0,get_random_metapopulation,300
47,1.0,10,0.09,0.0,1.0,1.0,get_random_metapopulation,300
48,1.0,15,0.09,0.0,1.0,1.0,get_random_metapopulation,300
49,1.0,20,0.09,0.0,1.0,1.0,get_random_metapopulation,300
50,1.0,25,0.09,0.0,1.0,1.0,get_random_metapopulation,300
51,1.0,5,0.1,0.0,1.0,1.0,get_random_metapopulation,300
52,1.0,10,0.1,0.0,1.0,1.0,get_random_metapopulation,300
53,1.0,15,0.1,0.0,1.0,1.0,get_random_metapopulation,300
54,1.0,20,0.1,0.0,1.0,1.0,get_random_metapopulation,300
55,1.0,25,0.1,0.0,1.0,1.0,get_random_metapopulation,300
56,1.0,5,0.11,0.0,1.0,1.0,get_random_metapopulation,300
57,1.0,10,0.11,0.0,1.0,1.0,get_random_metapopulation,300
58,1.0,15,0.11,0.0,1.0,1.0,get_random_metapopulation,300
59,1.0,20,0.11,0.0,1.0,1.0,get_random_metapopulation,300
60,1.0,25,0.11,0.0,1.0,1.0,get_random_metapopulation,300
61,1.0,5,0.12,0.0,1.0,1.0,get_random_metapopulation,300
62,1.0,10,0.12,0.0,1.0,1.0,get_random_metapopulation,300
63,1.0,15,0.12,0.0,1.0,1.0,get_random_metapopulation,300
64,1.0,20,0.12,0.0,1.0,1.0,get_random_metapopulation,300
65,1.0,25,0.12,0.0,1.0,1.0,get_random_metapopulation,300
66,1.0,5,0.13,0.0,1.0,1.0,get_random_metapopulation,300
67,1.0,10,0.13,0.0,1.0,1.0,get_random_metapopulation,300
68,1.0,15,0.13,0.0,1.0,1.0,get_random_metapopulation,300
69,1.0,20,0.13,0.0,1.0,1.0,get_random_metapopulation,300
70,1.0,25,0.13,0.0,1.0,1.0,get_random_metapopulation,300
71,1.0,5,0.14,0.0,1.0,1.0,get_random_metapopulation,300
72,1.0,10,0.14,0.0,1.0,1.0,get_random_metapopulation,300
73,1.0,15,0.14,0.0,1.0,1.0,get_random_metapopulation,300
74,1.0,20,0.14,0.0,1.0,1.0,get_random_metapopulation,300
75,1.0,25,0.14,0.0,1.0,1.0,get_random_metapopulation,300
76,1.0,5,0.15,0.0,1.0,1.0,get_random_metapopulation,300
77,1.0,10,0.15,0.0,1.0,1.0,get_random_metapopulation,300
78,1.0,15,0.15,0.0,1.0,1.0,get_random_metapopulation,300
79,1.0,20,0.15,0.0,1.0,1.0,get_random_metapopulation,300
80,1.0,25,0.15,0.0,1.0,1.0,get_random_metapopulation,300
81,1.0,5,0.16,0.0,1.0,1.0,get_random_metapopulation,300
82,1.0,10,0.16,0.0,1.0,1.0,get_random_metapopulation,300
83,1.0,15,0.16,0.0,1.0,1.0,get_random_metapopulation,300
84,1.0,20,0.16,0.0,1.0,1.0,get_random_metapopulation,300
85,1.0,25,0.16,0.0,1.0,1.0,get_random_metapopulation,300
86,1.0,5,0.17,0.0,1.0,1.0,get_random_metapopulation,300
87,1.0,10,0.17,0.0,1.0,1.0,get_random_metapopulation,300
88,1.0,15,0.17,0.0,1.0,1.0,get_random_metapopulation,300
89,1.0,20,0.17,0.0,1.0,1.0,get_random_metapopulation,300
90,1.0,25,0.17,0.0,1.0,1.0,get_random_metapopulation,300
91,1.0,5,0.18,0.0,1.0,1.0,get_random_metapopulation,300
92,1.0,10,0.18,0.0,1.0,1.0,get_random_metapopulation,300
93,1.0,15,0.18,0.0,1.0,1.0,get_random_metapopulation,300
94,1.0,20,0.18,0.0,1.0,1.0,get_random_metapopulation,300
95,1.0,25,0.18,0.0,1.0,1.0,get_random_metapopulation,300
96,1.0,5,0.19,0.0,1.0,1.0,get_random_metapopulation,300
97,1.0,10,0.19,0.0,1.0,1.0,get_random_metapopulation,300
98,1.0,15,0.19,0.0,1.0,1.0,get_random_metapopulation,300
99,1.0,20,0.19,0.0,1.0,1.0,get_random_metapopulation,300
100,1.0,25,0.19,0.0,1.0,1.0,get_random_metapopulation,300
101,1.0,5,0.2,0.0,1.0,1.0,get_random_metapopulation,300
102,1.0,10,0.2,0.0,1.0,1.0,get_random_metapopulation,300
103,1.0,15,0.2,0.0,1.0,1.0,get_random_metapopulation,300
104,1.0,20,0.2,0.0,1.0,1.0,get_random_metapopulation,300
105,1.0,25,0.2,0.0,1.0,1.0,get_random_metapopulation,300
106,1.0,5,0.21,0.0,1.0,1.0,get_random_metapopulation,300
