treatment,sigma,num_populations,migration_rate,alpha,lambda,carrying_capacity,metapopulation_generator,number_of_timesteps
167,0.5,20,0.65,10,1.0,1.0,get_random_metapopulation,300
168,0.5,20,0.66,10,1.0,1.0,get_random_metapopulation,300
169,0.5,20,0.67,10,1.0,1.0,get_random_metapopulation,300
170,0.5,20,0.68,10,1.0,1.0,get_random_metapopulation,300
171,0.5,20,0.69,10,1.0,1.0,get_random_metapopulation,300
172,0.5,20,0.7,10,1.0,1.0,get_random_metapopulation,300
173,0.5,20,0.71,10,1.0,1.0,get_random_metapopulation,300
174,0.5,20,0.72,10,1.0,1.0,get_random_metapopulation,300
175,0.5,20,0.73,10,1.0,1.0,get_random_metapopulation,300
176,0.5,20,0.74,10,1.0,1.0,get_random_metapopulation,300
177,0.5,20,0.75,10,1.0,1.0,get_random_metapopulation,300
178,0.5,20,0.76,10,1.0,1.0,get_random_metapopulation,300
179,0.5,20,0.77,10,1.0,1.0,get_random_metapopulation,300
180,0.5,20,0.78,10,1.0,1.0,get_random_metapopulation,300
181,0.5,20,0.79,10,1.0,1.0,get_random_metapopulation,300
182,0.5,20,0.8,10,1.0,1.0,get_random_metapopulation,300
183,0.5,20,0.81,10,1.0,1.0,get_random_metapopulation,300
184,0.5,20,0.82,10,1.0,1.0,get_random_metapopulation,300
185,0.5,20,0.83,10,1.0,1.0,get_random_metapopulation,300
186,0.5,20,0.84,10,1.0,1.0,get_random_metapopulation,300
187,0.5,20,0.85,10,1.0,1.0,get_random_metapopulation,300
188,0.5,20,0.86,10,1.0,1.0,get_random_metapopulation,300
189,0.5,20,0.87,10,1.0,1.0,get_random_metapopulation,300
190,0.5,20,0.88,10,1.0,1.0,get_random_metapopulation,300
191,0.5,20,0.89,10,1.0,1.0,get_random_metapopulation,300
192,0.5,20,0.9,10,1.0,1.0,get_random_metapopulation,300
193,0.5,20,0.91,10,1.0,1.0,get_random_metapopulation,300
194,0.5,20,0.92,10,1.0,1.0,get_random_metapopulation,300
195,0.5,20,0.93,10,1.0,1.0,get_random_metapopulation,300
196,0.5,20,0.94,10,1.0,1.0,get_random_metapopulation,300
197,0.5,20,0.95,10,1.0,1.0,get_random_metapopulation,300
198,0.5,20,0.96,10,1.0,1.0,get_random_metapopulation,300
199,0.5,20,0.97,10,1.0,1.0,get_random_metapopulation,300
200,0.5,20,0.98,10,1.0,1.0,get_random_metapopulation,300
201,0.5,20,0.99,10,1.0,1.0,get_random_metapopulation,300
202,0.5,20,1.0,10,1.0,1.0,get_random_metapopulation,300
203,0.5,20,0.0,20,1.0,1.0,get_random_metapopulation,300
204,0.5,20,0.01,20,1.0,1.0,get_random_metapopulation,300
205,0.5,20,0.02,20,1.0,1.0,get_random_metapopulation,300
206,0.5,20,0.03,20,1.0,1.0,get_random_metapopulation,300
207,0.5,20,0.04,20,1.0,1.0,get_random_metapopulation,300
208,0.5,20,0.05,20,1.0,1.0,get_random_metapopulation,300
209,0.5,20,0.06,20,1.0,1.0,get_random_metapopulation,300
210,0.5,20,0.07,20,1.0,1.0,get_random_metapopulation,300
211,0.5,20,0.08,20,1.0,1.0,get_random_metapopulation,300
212,0.5,20,0.09,20,1.0,1.0,get_random_metapopulation,300
213,0.5,20,0.1,20,1.0,1.0,get_random_metapopulation,300
214,0.5,20,0.11,20,1.0,1.0,get_random_metapopulation,300
215,0.5,20,0.12,20,1.0,1.0,get_random_metapopulation,300
216,0.5,20,0.13,20,1.0,1.0,get_random_metapopulation,300
217,0.5,20,0.14,20,1.0,1.0,get_random_metapopulation,300
218,0.5,20,0.15,20,1.0,1.0,get_random_metapopulation,300
219,0.5,20,0.16,20,1.0,1.0,get_random_metapopulation,300
220,0.5,20,0.17,20,1.0,1.0,get_random_metapopulation,300
221,0.5,20,0.18,20,1.0,1.0,get_random_metapopulation,300
222,0.5,20,0.19,20,1.0,1.0,get_random_metapopulation,300
223,0.5,20,0.2,20,1.0,1.0,get_random_metapopulation,300
224,0.5,20,0.21,20,1.0,1.0,get_random_metapopulation,300
225,0.5,20,0.22,20,1.0,1.0,get_random_metapopulation,300
226,0.5,20,0.23,20,1.0,1.0,get_random_metapopulation,300
227,0.5,20,0.24,20,1.0,1.0,get_random_metapopulation,300
228,0.5,20,0.25,20,1.0,1.0,get_random_metapopulation,300
229,0.5,20,0.26,20,1.0,1.0,get_random_metapopulation,300
230,0.5,20,0.27,20,1.0,1.0,get_random_metapopulation,300
231,0.5,20,0.28,20,1.0,1.0,get_random_metapopulation,300
232,0.5,20,0.29,20,1.0,1.0,get_random_metapopulation,300
233,0.5,20,0.3,20,1.0,1.0,get_random_metapopulation,300
234,0.5,20,0.31,20,1.0,1.0,get_random_metapopulation,300
235,0.5,20,0.32,20,1.0,1.0,get_random_metapopulation,300
236,0.5,20,0.33,20,1.0,1.0,get_random_metapopulation,300
237,0.5,20,0.34,20,1.0,1.0,get_random_metapopulation,300
238,0.5,20,0.35,20,1.0,1.0,get_random_metapopulation,300
239,0.5,20,0.36,20,1.0,1.0,get_random_metapopulation,300
240,0.5,20,0.37,20,1.0,1.0,get_random_metapopulation,300
241,0.5,20,0.38,20,1.0,1.0,get_random_metapopulation,300
242,0.5,20,0.39,20,1.0,1.0,get_random_metapopulation,300
243,0.5,20,0.4,20,1.0,1.0,get_random_metapopulation,300
244,0.5,20,0.41,20,1.0,1.0,get_random_metapopulation,300
245,0.5,20,0.42,20,1.0,1.0,get_random_metapopulation,300
246,0.5,20,0.43,20,1.0,1.0,get_random_metapopulation,300
247,0.5,20,0.44,20,1.0,1.0,get_random_metapopulation,300
248,0.5,20,0.45,20,1.0,1.0,get_random_metapopulation,300
249,0.5,20,0.46,20,1.0,1.0,get_random_metapopulation,300
250,0.5,20,0.47,20,1.0,1.0,get_random_metapopulation,300
251,0.5,20,0.48,20,1.0,1.0,get_random_metapopulation,300
252,0.5,20,0.49,20,1.0,1.0,get_random_metapopulation,300
253,0.5,20,0.5,20,1.0,1.0,get_random_metapopulation,300
254,0.5,20,0.51,20,1.0,1.0,get_random_metapopulation,300
255,0.5,20,0.52,20,1.0,1.0,get_random_metapopulation,300
256,0.5,20,0.53,20,1.0,1.0,get_random_metapopulation,300
257,0.5,20,0.54,20,1.0,1.0,get_random_metapopulation,300
258,0.5,20,0.55,20,1.0,1.0,get_random_metapopulation,300
259,0.5,20,0.56,20,1.0,1.0,get_random_metapopulation,300
260,0.5,20,0.57,20,1.0,1.0,get_random_metapopulation,300
261,0.5,20,0.58,20,1.0,1.0,get_random_metapopulation,300
262,0.5,20,0.59,20,1.0,1.0,get_random_metapopulation,300
263,0.5,20,0.6,20,1.0,1.0,get_random_metapopulation,300
264,0.5,20,0.61,20,1.0,1.0,get_random_metapopulation,300
265,0.5,20,0.62,20,1.0,1.0,get_random_metapopulation,300
266,0.5,20,0.63,20,1.0,1.0,get_random_metapopulation,300
267,0.5,20,0.64,20,1.0,1.0,get_random_metapopulation,300
268,0.5,20,0.65,20,1.0,1.0,get_random_metapopulation,300
269,0.5,20,0.66,20,1.0,1.0,get_random_metapopulation,300
270,0.5,20,0.67,20,1.0,1.0,get_random_metapopulation,300
271,0.5,20,0.68,20,1.0,1.0,get_random_metapopulation,300
