treatment,replicate,mean_cc
5,30,0.16193075701839146
5,31,0.3345396898028559
5,32,0.20193459513723364
5,33,0.30825306382695805
5,34,0.27688113969116557
5,35,0.2365879885279928
5,36,0.35520701830283696
5,37,0.3050684879240138
5,38,0.23464867045503845
5,39,0.2563073655755376
5,40,0.25201926965111726
5,41,0.29057312555672055
5,42,0.31983781650975107
5,43,0.21843731849686387
5,44,0.36387567376245644
5,45,0.38664775056772677
5,46,0.19163157977212494
5,47,0.12050187841249
5,48,0.2269140598173222
5,49,0.21486526525918603
5,50,0.262199809256675
6,1,0.3616899854758779
6,2,0.4010807078659202
6,3,0.16935676225292243
6,4,0.36294076668182534
6,5,0.31719493118354103
6,6,0.3105510299526826
6,7,0.2914722541319063
6,8,0.24654669013862057
6,9,0.2619360954405484
6,10,0.31178511025354405
6,11,0.3900618083895064
6,12,0.3547564554859507
6,13,0.3216584002351779
6,14,0.26442633888256833
6,15,0.3551512622503775
6,16,0.19708000125996247
6,17,0.3751297970371765
6,18,0.24807100899015672
6,19,0.28389051812666366
6,20,0.3933055475851784
6,21,0.2386714113063162
6,22,0.26632241388199346
6,23,0.28242584688031785
6,24,0.40448587627925614
6,25,0.4498913443314459
6,26,0.2677063459590639
6,27,0.4232262473322663
6,28,0.3343731761266233
6,29,0.28873400998559895
6,30,0.18736114232757764
6,31,0.20471423713293413
6,32,0.19737400597198523
6,33,0.271268515544137
6,34,0.3662979059525906
6,35,0.13394366564721927
6,36,0.2323600164405094
6,37,0.28184945660080635
6,38,0.24171816718374128
6,39,0.2764747764144074
6,40,0.28029982986707525
6,41,0.3082245144172482
6,42,0.3568386081566213
6,43,0.3437831099259769
6,44,0.22856500523156284
6,45,0.11908880808507415
6,46,0.2125493927376146
6,47,0.3387574419002046
6,48,0.2937840211308492
6,49,0.2812623526947163
6,50,0.3382787351448671
7,1,0.18032229384075651
7,2,0.22465959186637224
7,3,0.29824637976702073
7,4,0.20448448017894894
7,5,0.17315280974257108
7,6,0.2832627629080568
7,7,0.3737353180951408
7,8,0.323535851562917
7,9,0.3655748109238436
7,10,0.34803294947972363
7,11,0.450812488771097
7,12,0.22662191029024506
7,13,0.3686587849193325
7,14,0.3878100707362712
7,15,0.26817483711757467
7,16,0.5246655276472135
7,17,0.3473208507538534
7,18,0.3764432677433861
7,19,0.21314757251539013
7,20,0.4858024665383697
7,21,0.3735557355639643
7,22,0.44718636052138383
7,23,0.18406271949472439
7,24,0.350942417893142
7,25,0.47212005853105604
7,26,0.34904858230187885
7,27,0.1601135575387885
7,28,0.2815582613163881
7,29,0.15823565528002803
7,30,0.23352772006656441
7,31,0.45250483452092993
7,32,0.46922207004851935
7,33,0.18946910592188562
7,34,0.21384247089909944
7,35,0.35567303530279276
7,36,0.3730235149350445
7,37,0.307608932573228
7,38,0.35479484311614856
7,39,0.2642057516250933
7,40,0.37230868160315406
7,41,0.35974901092042666
7,42,0.30923118009606376
7,43,0.3856767177535201
7,44,0.3399906323437528
7,45,0.3972493297222535
7,46,0.3687647420909601
7,47,0.21759009305107818
7,48,0.39389273292511195
7,49,0.3183513067311569
7,50,0.3226143799117046
8,1,0.31665090979616645
8,2,0.3690805848937078
8,3,0.43328682299752075
8,4,0.4234928357596383
8,5,0.2979553712398311
8,6,0.3392421405622799
8,7,0.4075937834258262
8,8,0.20539278242851733
8,9,0.403888705148287
8,10,0.40562657318870643
8,11,0.34271436224422214
8,12,0.3344588918613661
8,13,0.31600042818879187
8,14,0.3354573188396614
8,15,0.40038502848068835
8,16,0.37676867493702476
8,17,0.4109121125657508
8,18,0.2512763013694321
8,19,0.35983841080713874
8,20,0.386965519995886
8,21,0.26286139590585617
8,22,0.3877281255553352
8,23,0.2842987287913385
8,24,0.18964545286384285
8,25,0.3514224204799111
8,26,0.295178154911324
8,27,0.393738799794814
8,28,0.33354397737141805
8,29,0.49085773638373725
8,30,0.27436874607359385
8,31,0.4719234963189392
8,32,0.33887085260393573
8,33,0.3650425935251318
8,34,0.4390966473891268
8,35,0.2893510084739573
8,36,0.3794234470624819
8,37,0.3342668708961283
8,38,0.28999240564245776
8,39,0.21281431783479227
8,40,0.5141646286782288
8,41,0.34405594346126483
8,42,0.3917747613464199
8,43,0.4190973928744969
8,44,0.32659558027104824
8,45,0.36915908544862513
8,46,0.3331498919661278
8,47,0.3712507362446691
8,48,0.23740932402879597
8,49,0.2993321749805006
8,50,0.3809602806280274
9,1,0.24028473948802823
9,2,0.2235660584671637
9,3,0.4943414601974422
9,4,0.2559862428994888
9,5,0.37858044365733
9,6,0.43592336739157667
9,7,0.2691506653817532
9,8,0.2855986502729704
9,9,0.3151295253614079
9,10,0.32682606449698887
9,11,0.25017577707119104
9,12,0.49897708236764693
9,13,0.15579891117636974
9,14,0.3468909691935294
9,15,0.29444906027633594
9,16,0.18298852621400355
9,17,0.40519269920530676
9,18,0.3225312930445054
9,19,0.4488520911084516
9,20,0.4541489518441662
9,21,0.35687688843601084
9,22,0.36187733986458814
9,23,0.4418295479228361
9,24,0.4976965323723979
